country,region,year,ypp,school,avgage,exper,hum_cap,lf2,pop,sscap,kpw,lfpr
belgium,Western Europe,1880,1724.298,2.76724,31.2174,22.45016,3.0934469902725064,2681,5522,3753.013737344901,3690.7400187105573,0.48551249547265485
belgium,Western Europe,1890,1928.34,2.519,31.9915,23.4725,3.0457981955606304,2831,6071,4082.7510190257512,4169.941269437832,0.466315269313128
belgium,Western Europe,1900,2099.046,2.77614,33.00445,24.22831,3.1911999310411687,3189,6718,5724.020942289565,5212.6812892641265,0.4746948496576362
belgium,Western Europe,1910,2286.419,3.1911,33.1953,24.00419,3.3617948066376937,3461,7401,6640.613162593349,6286.581746980428,0.467639508174571
belgium,Western Europe,1920,2228.943,3.5175,34.15357,24.63606,3.546548936150413,3105,7398,8640.567412027496,7740.872689054773,0.4197080291970803
belgium,Western Europe,1930,2590.411,3.72049,35.68332,25.96283,3.713066184091034,3738,8092,4925.9750666883665,6163.570024389772,0.4619377162629758
belgium,Western Europe,1947,2865.839,3.93434,37.16359,27.22926,3.8808220509666738,3414,8505,16916.335016947945,14649.91991983302,0.4014109347442681
belgium,Western Europe,1961,5752,4.40563,38.44436,28.03873,4.114700298473411,3414,9190,20021.22671538909,21860.882123970703,0.37149075081610444
belgium,Western Europe,1970,8331,5.13529,40.0979,28.9626,4.468849531520723,3559,9725,38949.099622643,36618.56815953237,0.36596401028277636
belgium,Western Europe,1980,11109,8.08176,39.62057,25.53881,5.772873710778469,3288,9847,67161.83661901744,62266.45431507363,0.33390880471209505
belgium,Western Europe,1990,13232,9.82896,40.61786,24.7889,6.431945123203391,3762,9967,59162.158224331775,61785.572367534114,0.37744557038226145
belgium,Western Europe,2000,18902.77,10.91536,42.86488,25.94952,7.038400903643917,4300,10242,76904.96579704813,77681.758428235,0.4198398750244093
denmark,Western Europe,1870,1555.139,1.86583,33.37869,25.51287,2.8785105781220026,1422,1784,3549.327450472164,3549.327450472164,0.797085201793722
denmark,Western Europe,1880,1692.368,2.42043,32.91422,24.49379,3.0551173367883133,1709,1970,3158.3509137876995,3314.815394280785,0.86751269035533
denmark,Western Europe,1890,1958.755,2.69075,33.21352,24.52277,3.169205735911907,2039,2171,2580.6064014330823,2946.8243799449206,0.9391985260248733
denmark,Western Europe,1901,2413.228,3.16468,32.90131,23.73663,3.3355280411078954,1139,2449,8812.029657673289,8332.483877374538,0.4650877909350755
denmark,Western Europe,1911,2991.664,3.42929,33.28062,23.85133,3.4623446358703935,1231,2760,13154.781637386375,12328.457449061392,0.4460144927536232
denmark,Western Europe,1921,2931.574,3.8445,33.42422,23.57972,3.644273385329375,1360,3266,14305.921873501613,13741.376874436479,0.4164115125535824
denmark,Western Europe,1930,4088.651,4.15876,34.17812,24.01936,3.808144261466432,1588,3551,12787.17128309048,14520.786413166932,0.44719797240214026
denmark,Western Europe,1940,3698.209,4.44635,35.3959,24.94955,3.9762851339772816,1971,4067,16564.01435781162,14478.33211101191,0.4846324071797394
denmark,Western Europe,1950,5263,4.77303,36.95144,26.1784,4.179497399695319,2063,4280,17375.1135062201,18459.299357890373,0.48200934579439253
